"","x"
"225",0
"226",0
"227",0
"228",0
"229",1
"230",0
"231",1
"232",0
"233",0
"234",1
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",1
"243",0
"244",0
"245",1
"246",0
"247",1
"248",0
"249",0
"250",1
"251",0
"252",0
"253",0
"254",0
"255",0
"256",1
"257",1
"258",0
"259",1
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",1
"271",0
"272",1
"273",0
"274",0
"275",0
"276",0
"277",0
"278",1
"279",0
"280",0
"281",0
"282",0
"283",1
"284",0
"285",0
"286",0
"287",0
"288",0
"289",1
"290",0
"291",0
"292",0
"293",1
"294",0
"295",1
"296",1
"297",1
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",1
"313",0
"314",0
"315",0
"316",1
"317",0
"318",0
"319",0
"320",0
"321",0
"322",1
"323",1
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",1
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",1
"343",1
"344",0
"345",0
"346",0
"347",0
"348",1
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",1
"357",0
"358",0
"359",0
"360",0
"361",0
"362",1
"363",0
"364",1
"365",1
"366",0
"367",0
"368",1
"369",1
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",1
"378",0
"379",0
"380",0
"381",0
"382",1
"383",0
"384",0
"385",0
"386",0
"387",1
"388",1
"389",1
"390",0
"391",0
"392",1
"393",0
"394",0
"395",1
"396",0
"397",1
"398",0
"399",0
"400",0
"401",1
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0
"409",1
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",1
"418",0
"419",1
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",1
"436",0
"437",0
"438",1
"439",0
"440",0
"441",0
"442",0
"443",1
"444",1
"445",0
"446",0
"447",1
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",1
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",1
"467",1
"468",1
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",1
"479",0
"480",0
"481",0
"482",1
"483",0
"484",0
"485",1
"486",0
"487",0
"488",1
"489",1
"490",0
"491",1
"492",1
"493",0
"494",0
"495",1
"496",1
"497",0
"498",1
"499",0
"500",1
"501",1
"502",0
"503",1
"504",0
"505",0
"506",1
"507",0
"508",1
"509",0
"510",0
"511",0
"512",1
"513",0
"514",1
"515",0
"516",0
"517",1
"518",1
"519",0
"520",0
"521",1
"522",0
"523",0
"524",0
"525",0
"526",0
"527",1
"528",0
"529",0
"530",0
"531",0
"532",1
"533",0
"534",0
"535",0
"536",1
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",0
"544",1
"545",0
"546",0
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",0
"554",0
"555",0
"556",0
"557",0
"558",0
"559",1
"560",0
"561",0
"562",1
"563",0
"564",1
"565",0
"566",0
"567",0
"568",0
"569",0
"570",0
"571",0
"572",0
"573",0
"574",0
"575",0
"576",0
"577",0
"578",0
"579",0
"580",0
"581",0
"582",1
"583",0
"584",0
"585",1
"586",0
"587",0
"588",1
"589",1
"590",0
"591",0
"592",0
"593",0
"594",0
"595",0
"596",1
"597",1
"598",1
"599",0
"600",1
"601",0
"602",1
"603",0
"604",0
"605",0
"606",1
"607",1
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",1
"620",1
"621",0
"622",1
"623",0
"624",0
"625",1
"626",1
"627",1
"628",0
"629",0
"630",0
"631",1
"632",0
"633",1
"634",0
"635",0
"636",0
"637",0
"638",0
"639",1
"640",1
"641",1
"642",0
"643",1
"644",0
"645",0
"646",0
"647",0
"648",0
"649",1
"650",0
"651",1
"652",0
"653",0
"654",0
"655",0
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",1
"663",0
"664",1
"665",0
"666",0
"667",1
"668",1
"669",1
"670",0
"671",0
"672",1
"673",0
"674",0
"675",0
"676",0
"677",1
"678",0
"679",0
"680",1
"681",0
"682",0
"683",0
"684",1
"685",0
"686",1
"687",0
"688",0
"689",0
"690",0
"691",1
"692",0
"693",0
"694",1
"695",0
"696",0
"697",0
"698",1
"699",0
"700",1
"701",1
"702",0
"703",0
"704",1
"705",0
"706",0
"707",0
"708",0
"709",1
"710",0
"711",0
"712",0
"713",0
"714",1
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",1
"725",0
"726",0
"727",0
"728",0
"729",1
"730",0
"731",0
"732",0
"733",0
"734",0
"735",0
"736",0
"737",1
"738",0
"739",0
"740",1
"741",0
"742",1
"743",0
"744",0
"745",0
"746",0
"747",0
"748",0
"749",0
"750",0
"751",0
"752",1
"753",1
"754",1
"755",0
"756",0
"757",1
"758",1
"759",0
"760",0
"761",1
"762",0
"763",1
"764",0
"765",1
"766",0
"767",0
"768",0
"769",1
"770",1
"771",0
"772",0
"773",0
"774",0
"775",0
"776",0
"777",0
"778",0
"779",1
"780",1
"781",1
"782",0
"783",1
"784",1
"785",0
"786",0
"787",0
"788",1
"789",1
"790",0
"791",0
"792",0
"793",0
"794",1
"795",0
"796",0
"797",0
"798",0
"799",0
"800",0
"801",0
"802",0
"803",0
"804",0
"805",1
"806",0
"807",1
"808",0
"809",0
"810",0
"811",0
"812",0
"813",0
"814",1
"815",1
"816",0
"817",0
"818",0
"819",0
"820",0
"821",1
"822",1
"823",0
"824",1
"825",1
"826",0
"827",0
"828",0
"829",1
"830",0
"831",0
"832",1
"833",0
"834",1
"835",1
"836",0
"837",0
"838",1
"839",0
"840",0
"841",0
"842",1
"843",0
"844",1
"845",0
"846",0
"847",0
"848",0
"849",0
"850",0
"851",0
"852",1
"853",0
"854",0
"855",0
"856",1
"857",0
"858",0
"859",0
"860",0
"861",0
"862",0
"863",1
"864",1
"865",0
"866",0
"867",0
"868",0
"869",0
"870",0
"871",0
"872",1
"873",0
"874",0
"875",0
"876",1
"877",1
"878",0
"879",0
"880",0
"881",0
"882",0
"883",0
"884",0
"885",0
"886",0
"887",0
"888",0
"889",0
"890",0
"891",0
"892",0
"893",0
"894",0
"895",0
"896",0
"897",1
"898",0
"899",1
"900",0
"901",1
"902",0
"903",0
"904",0
"905",0
"906",0
"907",0
"908",1
"909",0
"910",1
"911",0
"912",1
"913",0
"914",0
"915",1
"916",0
"917",0
"918",0
"919",1
"920",0
"921",0
"922",0
"923",0
"924",0
"925",1
"926",0
"927",0
"928",0
"929",0
"930",0
"931",0
"932",0
"933",1
"934",0
"935",1
"936",0
"937",0
"938",1
"939",0
"940",1
"941",0
"942",0
"943",1
"944",0
"945",0
"946",1
"947",0
"948",0
"949",0
"950",0
"951",1
"952",1
"953",1
"954",0
"955",0
"956",0
"957",0
"958",0
"959",1
"960",0
"961",0
"962",0
"963",1
"964",1
"965",0
"966",0
"967",0
"968",0
"969",1
"970",1
"971",0
"972",0
"973",0
"974",1
"975",0
"976",1
"977",0
"978",1
"979",0
"980",0
"981",0
"982",0
"983",0
"984",1
"985",0
"986",0
"987",0
"988",0
"989",0
"990",0
"991",0
"992",0
"993",0
"994",0
"995",0
"996",0
"997",1
"998",0
"999",0
"1000",0
"1001",0
"1002",0
"1003",0
"1004",0
"1005",1
"1006",0
"1007",0
"1008",1
"1009",0
"1010",1
"1011",0
"1012",1
"1013",1
"1014",0
"1015",0
"1016",1
"1017",0
"1018",0
"1019",0
"1020",1
"1021",0
"1022",0
"1023",0
"1024",0
"1025",1
"1026",1
"1027",0
"1028",0
"1029",0
"1030",0
"1031",0
"1032",0
"1033",0
"1034",1
"1035",1
"1036",0
"1037",0
"1038",1
"1039",1
"1040",0
"1041",0
"1042",0
"1043",0
"1044",1
"1045",1
"1046",0
"1047",0
"1048",0
"1049",0
"1050",1
"1051",0
"1052",0
"1053",0
"1054",1
"1055",1
"1056",1
"1057",1
"1058",0
"1059",0
"1060",1
"1061",1
"1062",0
"1063",0
"1064",0
"1065",0
"1066",0
"1067",0
"1068",1
"1069",0
"1070",0
"1071",0
"1072",0
"1073",1
"1074",0
"1075",0
"1076",1
"1077",0
"1078",0
"1079",0
"1080",0
"1081",0
"1082",1
"1083",1
"1084",0
"1085",1
"1086",1
"1087",0
"1088",1
"1089",0
"1090",0
"1091",0
"1092",1
"1093",0
"1094",1
"1095",0
"1096",0
"1097",0
"1098",1
"1099",0
"1100",1
"1101",0
"1102",0
"1103",0
"1104",1
"1105",0
"1106",0
"1107",0
"1108",0
"1109",0
"1110",0
"1111",0
"1112",0
"1113",0
"1114",0
"1115",0
"1116",0
"1117",0
"1118",1
"1119",0
"1120",0
"1121",0
"1122",0
"1123",0
"1124",0
"1125",0
"1126",1
"1127",1
"1128",0
"1129",0
"1130",1
"1131",0
"1132",0
"1133",0
"1134",1
"1135",0
"1136",0
"1137",1
"1138",1
"1139",0
"1140",0
"1141",0
"1142",1
"1143",0
"1144",0
"1145",0
"1146",0
"1147",0
"1148",1
"1149",1
"1150",0
"1151",0
"1152",0
"1153",1
"1154",1
"1155",0
"1156",0
"1157",0
"1158",0
"1159",0
"1160",0
"1161",0
"1162",0
"1163",1
"1164",0
"1165",0
"1166",0
"1167",1
"1168",0
"1169",0
"1170",0
"1171",1
"1172",0
"1173",0
"1174",0
"1175",1
"1176",0
"1177",0
"1178",1
"1179",0
"1180",0
"1181",0
"1182",0
"1183",0
"1184",0
"1185",0
"1186",0
"1187",0
"1188",1
"1189",0
"1190",0
"1191",0
"1192",1
"1193",0
"1194",0
"1195",0
"1196",0
"1197",1
"1198",0
"1199",0
"1200",0
"1201",1
"1202",1
"1203",1
"1204",0
"1205",1
"1206",0
"1207",0
"1208",1
"1209",0
"1210",0
"1211",0
"1212",0
"1213",0
"1214",1
"1215",0
"1216",1
"1217",0
"1218",1
"1219",1
"1220",0
"1221",0
"1222",0
"1223",0
"1224",0
"1225",0
"1226",0
"1227",1
"1228",1
"1229",0
"1230",0
"1231",0
"1232",1
"1233",1
"1234",1
"1235",0
"1236",0
"1237",0
"1238",1
"1239",0
"1240",0
"1241",0
"1242",1
"1243",0
"1244",0
"1245",0
"1246",0
"1247",0
"1248",0
"1249",1
"1250",1
"1251",0
"1252",0
"1253",0
"1254",0
"1255",0
"1256",1
"1257",0
"1258",0
"1259",0
"1260",0
"1261",0
"1262",1
"1263",0
"1264",0
"1265",0
"1266",0
"1267",1
"1268",1
"1269",0
"1270",1
"1271",0
"1272",0
"1273",1
"1274",0
"1275",1
"1276",0
"1277",0
"1278",1
"1279",0
"1280",0
"1281",0
"1282",1
"1283",1
"1284",0
"1285",0
"1286",0
"1287",0
"1288",1
"1289",0
"1290",0
"1291",0
"1292",0
"1293",0
"1294",0
"1295",0
"1296",0
"1297",0
"1298",0
"1299",0
"1300",1
"1301",0
"1302",1
"1303",0
"1304",0
"1305",0
"1306",1
"1307",1
"1308",0
"1309",0
"1310",0
"1311",0
"1312",1
"1313",0
"1314",0
"1315",0
"1316",0
"1317",0
"1318",0
"1319",0
"1320",0
"1321",0
"1322",0
"1323",0
"1324",0
"1325",0
"1326",1
"1327",1
"1328",0
"1329",0
"1330",0
"1331",0
"1332",1
"1333",0
"1334",0
"1335",1
"1336",0
"1337",0
"1338",1
"1339",0
"1340",0
"1341",0
"1342",1
"1343",0
"1344",0
"1345",0
"1346",0
"1347",0
"1348",0
"1349",0
"1350",0
"1351",0
"1352",0
"1353",0
"1354",0
"1355",1
"1356",0
"1357",0
"1358",0
"1359",0
"1360",1
"1361",0
"1362",1
"1363",0
"1364",1
"1365",0
"1366",0
"1367",0
"1368",0
"1369",0
"1370",0
"1371",0
"1372",1
"1373",0
"1374",0
"1375",0
"1376",1
"1377",0
"1378",0
"1379",0
"1380",0
"1381",0
"1382",0
"1383",0
"1384",1
"1385",0
"1386",0
"1387",0
"1388",0
"1389",0
"1390",0
"1391",0
"1392",0
"1393",0
"1394",1
"1395",1
"1396",1
"1397",0
"1398",0
"1399",0
"1400",0
"1401",0
"1402",0
"1403",0
"1404",1
"1405",1
"1406",0
"1407",1
"1408",1
"1409",0
"1410",0
"1411",1
"1412",0
"1413",0
"1414",0
"1415",0
"1416",0
"1417",0
"1418",0
"1419",1
"1420",0
"1421",1
"1422",1
"1423",1
"1424",0
"1425",1
"1426",1
"1427",1
"1428",0
"1429",0
"1430",0
"1431",0
"1432",0
"1433",0
"1434",0
"1435",0
"1436",0
"1437",0
"1438",0
"1439",1
"1440",0
"1441",0
"1442",1
"1443",1
"1444",0
"1445",1
"1446",1
"1447",0
"1448",0
"1449",0
"1450",1
"1451",0
"1452",0
"1453",0
"1454",0
"1455",0
"1456",1
"1457",0
"1458",0
"1459",0
"1460",0
"1461",0
"1462",0
"1463",0
"1464",1
"1465",0
"1466",0
"1467",1
"1468",0
"1469",0
"1470",0
"1471",0
"1472",1
"1473",0
"1474",0
"1475",0
"1476",0
"1477",1
"1478",0
"1479",0
"1480",0
"1481",0
"1482",0
"1483",0
"1484",0
"1485",0
"1486",0
"1487",0
"1488",1
"1489",0
"1490",0
"1491",0
"1492",1
"1493",1
"1494",0
"1495",0
"1496",0
"1497",0
"1498",0
"1499",0
"1500",0
"1501",0
"1502",0
"1503",1
"1504",0
"1505",1
"1506",0
"1507",0
"1508",1
"1509",0
"1510",0
"1511",0
"1512",1
"1513",0
"1514",1
"1515",0
"1516",0
"1517",0
"1518",1
"1519",0
"1520",0
"1521",1
"1522",1
"1523",0
"1524",1
"1525",1
"1526",0
"1527",0
"1528",0
"1529",1
"1530",0
"1531",0
"1532",0
"1533",1
"1534",0
"1535",0
"1536",0
"1537",1
"1538",1
"1539",1
"1540",1
"1541",1
"1542",1
"1543",0
"1544",1
"1545",0
"1546",1
"1547",0
"1548",0
"1549",1
"1550",0
"1551",1
"1552",0
"1553",0
"1554",0
"1555",0
"1556",0
"1557",0
"1558",1
"1559",1
"1560",0
"1561",0
"1562",1
"1563",0
"1564",0
"1565",0
"1566",0
"1567",1
"1568",0
"1569",0
"1570",0
"1571",1
"1572",1
"1573",1
"1574",0
"1575",0
"1576",1
"1577",0
"1578",0
"1579",1
"1580",1
"1581",0
"1582",0
"1583",1
"1584",0
"1585",0
"1586",0
"1587",1
"1588",1
"1589",1
"1590",1
"1591",1
"1592",0
"1593",0
"1594",0
"1595",0
"1596",0
"1597",0
"1598",1
"1599",1
"1600",0
"1601",0
"1602",0
"1603",0
"1604",0
"1605",0
"1606",0
"1607",0
"1608",0
"1609",0
"1610",0
"1611",1
"1612",0
"1613",0
"1614",0
"1615",0
"1616",0
"1617",0
"1618",1
"1619",0
"1620",1
"1621",1
"1622",0
"1623",1
"1624",0
"1625",0
"1626",0
"1627",0
"1628",0
"1629",1
"1630",0
"1631",0
"1632",0
"1633",0
"1634",0
"1635",0
"1636",0
"1637",0
"1638",0
"1639",1
"1640",0
"1641",0
"1642",0
"1643",1
"1644",0
"1645",0
"1646",0
"1647",1
"1648",0
"1649",0
"1650",0
"1651",0
"1652",0
"1653",0
"1654",1
"1655",0
"1656",0
"1657",0
"1658",0
"1659",0
"1660",1
"1661",0
"1662",0
"1663",0
"1664",1
"1665",0
"1666",0
"1667",0
"1668",0
"1669",0
"1670",0
"1671",0
"1672",0
"1673",1
"1674",1
"1675",0
"1676",1
"1677",1
"1678",0
"1679",0
"1680",0
"1681",0
"1682",0
"1683",1
"1684",0
"1685",0
"1686",0
"1687",0
"1688",0
"1689",0
"1690",1
"1691",1
"1692",0
"1693",0
"1694",0
"1695",0
"1696",1
"1697",0
"1698",0
"1699",0
"1700",0
"1701",0
"1702",0
"1703",0
"1704",0
"1705",1
"1706",0
"1707",1
"1708",0
"1709",0
"1710",0
"1711",0
"1712",0
"1713",0
"1714",0
"1715",0
"1716",0
"1717",0
"1718",1
"1719",0
"1720",1
"1721",1
"1722",1
"1723",0
"1724",0
"1725",0
"1726",1
"1727",0
"1728",0
"1729",1
"1730",1
"1731",0
"1732",0
"1733",0
"1734",1
"1735",1
"1736",0
"1737",1
"1738",0
"1739",0
"1740",1
"1741",0
"1742",0
"1743",1
"1744",1
"1745",0
"1746",1
"1747",0
"1748",0
"1749",1
"1750",0
"1751",0
"1752",0
"1753",0
"1754",0
"1755",0
"1756",0
"1757",0
"1758",0
"1759",0
"1760",0
"1761",0
"1762",0
"1763",0
"1764",0
"1765",0
"1766",1
"1767",1
"1768",0
"1769",0
"1770",0
"1771",0
"1772",0
"1773",0
"1774",0
"1775",1
"1776",1
"1777",0
"1778",1
"1779",0
"1780",0
"1781",0
"1782",0
"1783",0
"1784",0
"1785",0
"1786",0
"1787",0
"1788",0
"1789",0
"1790",0
"1791",0
"1792",0
"1793",0
"1794",1
"1795",0
"1796",0
"1797",0
"1798",1
"1799",1
"1800",0
"1801",0
"1802",0
"1803",0
"1804",0
"1805",0
"1806",0
"1807",0
"1808",0
"1809",0
"1810",1
"1811",1
"1812",0
"1813",0
"1814",0
"1815",0
"1816",0
"1817",0
"1818",0
"1819",0
"1820",0
"1821",1
"1822",0
"1823",0
"1824",0
"1825",1
"1826",0
"1827",0
"1828",0
"1829",0
"1830",1
"1831",1
"1832",0
"1833",0
"1834",0
"1835",0
"1836",0
"1837",1
"1838",0
"1839",0
"1840",0
"1841",0
"1842",0
"1843",0
"1844",0
"1845",0
"1846",1
"1847",0
"1848",1
"1849",0
"1850",1
"1851",0
"1852",0
"1853",0
"1854",0
"1855",0
"1856",0
"1857",1
"1858",0
"1859",0
"1860",0
"1861",1
"1862",0
"1863",1
"1864",0
"1865",1
"1866",0
"1867",1
"1868",0
"1869",1
"1870",0
"1871",0
"1872",0
"1873",0
"1874",0
"1875",1
"1876",0
"1877",1
"1878",0
"1879",0
"1880",1
"1881",0
"1882",0
"1883",0
"1884",0
"1885",0
"1886",0
"1887",0
"1888",1
"1889",0
"1890",0
"1891",1
"1892",0
"1893",0
"1894",1
"1895",0
"1896",0
"1897",1
"1898",0
"1899",1
"1900",0
"1901",0
"1902",0
"1903",0
"1904",0
"1905",0
"1906",0
"1907",1
"1908",0
"1909",0
"1910",0
"1911",0
"1912",1
"1913",0
"1914",0
"1915",0
"1916",1
"1917",0
"1918",1
"1919",1
"1920",0
"1921",0
"1922",1
"1923",0
"1924",0
"1925",0
"1926",1
"1927",1
"1928",0
"1929",0
"1930",0
"1931",1
"1932",0
"1933",0
"1934",0
"1935",0
"1936",0
"1937",1
"1938",0
"1939",0
"1940",0
"1941",0
"1942",0
"1943",0
"1944",0
"1945",0
"1946",0
"1947",0
"1948",0
"1949",0
"1950",0
"1951",0
"1952",0
"1953",1
"1954",0
"1955",1
"1956",0
"1957",0
"1958",1
"1959",0
"1960",1
"1961",0
"1962",1
"1963",1
"1964",0
"1965",0
"1966",0
"1967",0
"1968",0
"1969",0
"1970",0
"1971",0
"1972",1
"1973",0
"1974",0
"1975",0
"1976",0
"1977",0
"1978",0
"1979",0
"1980",0
"1981",0
"1982",0
"1983",0
"1984",1
"1985",1
"1986",1
"1987",1
"1988",1
"1989",1
"1990",1
"1991",1
"1992",0
"1993",0
"1994",0
"1995",0
"1996",0
"1997",0
"1998",1
"1999",0
"2000",1
"2001",0
"2002",1
"2003",0
"2004",1
"2005",0
"2006",1
"2007",1
"2008",0
"2009",0
"2010",0
"2011",0
"2012",1
"2013",0
"2014",0
"2015",1
"2016",1
"2017",0
"2018",0
"2019",0
"2020",1
"2021",0
"2022",0
"2023",0
"2024",0
"2025",1
"2026",1
"2027",0
"2028",0
"2029",1
"2030",0
"2031",0
"2032",1
"2033",0
"2034",1
"2035",0
"2036",0
"2037",0
"2038",0
"2039",1
"2040",0
"2041",1
"2042",1
"2043",0
"2044",0
"2045",0
"2046",0
"2047",0
"2048",0
"2049",0
"2050",0
"2051",0
"2052",1
"2053",0
"2054",0
"2055",1
"2056",1
"2057",0
"2058",0
"2059",0
"2060",0
"2061",0
"2062",0
"2063",0
"2064",0
"2065",0
"2066",0
"2067",1
"2068",0
"2069",0
"2070",0
"2071",0
"2072",0
"2073",0
"2074",1
"2075",0
"2076",0
"2077",1
"2078",0
"2079",1
"2080",0
"2081",1
"2082",1
"2083",0
"2084",0
"2085",0
"2086",0
"2087",0
"2088",0
"2089",0
"2090",0
"2091",1
"2092",0
"2093",0
"2094",0
"2095",1
"2096",1
"2097",0
"2098",0
"2099",1
"2100",0
"2101",0
"2102",0
"2103",1
"2104",0
"2105",0
"2106",0
"2107",0
"2108",1
"2109",0
"2110",0
"2111",0
"2112",0
"2113",1
"2114",0
"2115",1
"2116",1
"2117",0
"2118",0
"2119",1
"2120",0
"2121",1
"2122",0
"2123",0
"2124",0
"2125",0
"2126",0
"2127",0
"2128",1
"2129",0
"2130",1
"2131",0
"2132",1
"2133",0
"2134",0
"2135",1
"2136",0
"2137",0
"2138",0
"2139",0
"2140",0
"2141",0
"2142",1
"2143",0
"2144",0
"2145",0
"2146",0
"2147",1
"2148",0
"2149",0
"2150",0
"2151",0
"2152",0
"2153",1
"2154",0
"2155",0
"2156",0
"2157",0
"2158",0
"2159",0
"2160",0
"2161",0
"2162",0
"2163",0
"2164",0
"2165",0
"2166",0
"2167",0
"2168",0
"2169",1
"2170",0
"2171",0
"2172",0
"2173",0
"2174",1
"2175",0
"2176",1
"2177",0
"2178",0
"2179",1
"2180",0
"2181",0
"2182",0
"2183",0
"2184",0
"2185",0
"2186",1
"2187",1
"2188",0
"2189",1
"2190",1
"2191",0
"2192",0
"2193",0
"2194",1
"2195",0
"2196",0
"2197",0
"2198",1
"2199",1
"2200",0
"2201",1
"2202",0
"2203",0
"2204",0
"2205",0
"2206",0
"2207",0
"2208",1
"2209",1
"2210",0
"2211",1
"2212",0
"2213",0
"2214",0
"2215",0
"2216",0
"2217",0
"2218",0
"2219",0
"2220",0
"2221",0
"2222",0
"2223",0
"2224",0
"2225",1
"2226",1
"2227",0
"2228",0
"2229",0
"2230",0
"2231",0
"2232",0
"2233",1
"2234",0
"2235",0
"2236",0
"2237",1
"2238",1
"2239",1
"2240",0
"2241",0
"2242",0
"2243",1
"2244",0
"2245",0
"2246",0
"2247",1
"2248",0
"2249",0
"2250",0
"2251",0
"2252",1
"2253",0
"2254",0
"2255",0
"2256",0
"2257",0
"2258",0
"2259",0
"2260",0
"2261",0
"2262",0
"2263",0
"2264",0
"2265",1
"2266",0
"2267",1
"2268",0
"2269",0
"2270",1
"2271",1
"2272",1
"2273",1
"2274",0
"2275",0
"2276",0
"2277",0
"2278",0
"2279",0
"2280",0
"2281",1
"2282",0
"2283",0
"2284",1
"2285",0
"2286",0
"2287",0
"2288",0
"2289",0
"2290",1
"2291",1
"2292",1
"2293",0
"2294",0
"2295",1
"2296",0
"2297",0
"2298",0
"2299",0
"2300",0
"2301",1
"2302",1
"2303",0
"2304",1
"2305",1
"2306",0
"2307",0
"2308",0
"2309",0
"2310",0
"2311",1
"2312",0
"2313",1
"2314",0
"2315",0
"2316",0
"2317",0
"2318",0
"2319",1
"2320",0
"2321",0
"2322",0
"2323",0
"2324",0
"2325",0
"2326",0
"2327",0
"2328",1
"2329",0
"2330",1
"2331",0
"2332",0
"2333",1
"2334",0
"2335",1
"2336",0
"2337",0
"2338",1
"2339",0
"2340",0
"2341",0
"2342",0
"2343",0
"2344",1
"2345",0
"2346",0
"2347",1
"2348",1
"2349",0
"2350",0
"2351",0
"2352",0
"2353",0
"2354",1
"2355",0
"2356",0
"2357",1
"2358",0
"2359",0
"2360",0
"2361",1
"2362",0
"2363",1
"2364",0
"2365",0
"2366",0
"2367",1
"2368",0
"2369",0
"2370",0
"2371",0
"2372",0
"2373",0
"2374",1
"2375",0
"2376",1
"2377",1
"2378",0
"2379",1
"2380",0
"2381",0
"2382",1
"2383",1
"2384",0
"2385",0
"2386",0
"2387",0
"2388",0
"2389",0
"2390",0
"2391",0
"2392",0
"2393",1
"2394",1
"2395",0
"2396",0
"2397",0
"2398",0
"2399",0
"2400",0
"2401",0
"2402",0
"2403",0
"2404",0
"2405",0
"2406",1
"2407",0
"2408",0
"2409",1
"2410",0
"2411",0
"2412",1
"2413",0
"2414",0
"2415",0
"2416",0
"2417",1
"2418",1
"2419",0
"2420",0
"2421",0
"2422",0
"2423",0
"2424",0
"2425",1
"2426",0
"2427",1
"2428",0
"2429",1
"2430",0
"2431",0
"2432",0
"2433",0
"2434",0
"2435",0
"2436",1
"2437",0
"2438",0
"2439",0
"2440",0
"2441",0
"2442",1
"2443",0
"2444",0
"2445",1
"2446",0
"2447",0
"2448",0
"2449",0
"2450",0
"2451",0
"2452",0
"2453",1
"2454",0
"2455",0
"2456",0
"2457",1
"2458",0
"2459",1
"2460",1
"2461",0
"2462",0
"2463",0
"2464",0
"2465",0
"2466",0
"2467",1
"2468",0
"2469",1
"2470",1
"2471",0
"2472",0
"2473",0
"2474",0
"2475",0
"2476",1
"2477",1
"2478",0
"2479",0
"2480",1
"2481",0
"2482",0
"2483",0
"2484",0
"2485",0
"2486",0
"2487",0
"2488",1
"2489",0
"2490",0
"2491",0
"2492",0
"2493",0
"2494",1
"2495",0
"2496",0
"2497",0
"2498",0
